frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps
251,240,8.44,23.71,15.31,47.46,20.17
252,240,4.4,26.67,4.37,35.44,27.09
253,240,6.75,26.72,6.87,40.34,22.76
254,240,6.92,27.19,5.03,39.14,24.37
255,240,5.9,31.82,4.0,41.72,22.23
256,240,3.28,28.34,4.12,35.75,26.89
257,240,4.63,32.94,4.86,42.42,21.62
258,240,5.53,28.45,5.96,39.93,23.96
259,240,7.02,27.84,5.76,40.61,23.65
260,240,7.26,30.29,11.68,49.24,19.73
261,240,5.31,26.6,5.96,37.87,25.41
262,240,18.72,22.25,6.62,47.59,19.93
263,240,5.57,24.1,8.9,38.57,24.72
264,240,3.74,26.53,5.81,36.08,25.77
265,240,6.13,29.14,9.24,44.51,21.41
266,240,8.04,27.35,5.25,40.64,23.72
267,240,7.38,25.01,7.81,40.2,23.87
268,240,5.99,25.68,6.07,37.73,24.28
269,240,3.35,26.71,4.5,34.57,27.74
270,240,7.57,28.14,5.3,41.01,22.89
271,240,7.54,24.03,4.16,35.73,26.83
