Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
   431 |            8.60 |           28.52 |             3.12 | 23.04
   432 |           12.15 |           24.87 |             3.13 | 23.13
   433 |            6.79 |           24.28 |             5.01 | 24.67
   434 |           10.35 |           26.54 |             5.11 | 21.47
   435 |            9.24 |           26.92 |             4.09 | 22.55
   436 |           11.30 |           29.18 |             5.51 | 20.26
   437 |           10.84 |           29.56 |             7.07 | 19.53
   438 |            6.48 |           28.40 |             3.24 | 23.96
   439 |            7.28 |           26.46 |             5.72 | 22.55
   440 |            9.88 |           27.25 |             3.27 | 22.28
   441 |            8.86 |           29.30 |             6.40 | 20.16
   442 |            6.37 |           24.71 |             3.18 | 26.06
   443 |            6.24 |           26.42 |             7.05 | 22.76
   444 |            9.03 |           26.70 |             5.93 | 21.69
   445 |            6.46 |           26.33 |             5.85 | 23.16
   446 |            5.88 |           22.13 |             3.74 | 26.79
   447 |            6.97 |           28.01 |             3.33 | 23.58
   448 |            5.78 |           29.02 |             4.74 | 23.06
   449 |           11.83 |           27.35 |             8.06 | 19.22
   450 |            4.04 |           30.08 |             3.82 | 23.14
   451 |            7.44 |           28.51 |             4.94 | 21.93
   452 |            9.26 |           30.53 |             4.12 | 21.06
   453 |           10.08 |           26.07 |             5.33 | 21.66
   454 |            9.32 |           29.13 |             6.01 | 20.33
   455 |            5.46 |           31.77 |             5.50 | 21.90
   456 |            8.73 |           28.46 |             3.89 | 21.27
   457 |           13.65 |           22.62 |             3.14 | 22.79
   458 |           10.97 |           24.33 |             2.97 | 23.32
   459 |            3.49 |           29.26 |             3.65 | 25.18
   460 |           10.67 |           28.17 |             5.71 | 20.26
   461 |           11.02 |           25.64 |             3.10 | 22.24
   462 |            6.14 |           28.74 |             3.67 | 23.02
   463 |            5.95 |           29.46 |             4.11 | 23.08
   464 |           11.42 |           28.33 |             3.12 | 21.33
   465 |            8.06 |           25.96 |             4.09 | 24.01
   466 |           12.25 |           28.21 |             5.91 | 19.58
   467 |            6.91 |           28.06 |             5.98 | 21.98
   468 |            9.20 |           31.27 |             3.14 | 21.33
   469 |            9.42 |           27.01 |             3.18 | 23.34
   470 |            6.38 |           27.60 |             3.08 | 24.26
   471 |            5.12 |           28.04 |             5.36 | 24.25
   472 |            9.65 |           27.47 |             3.00 | 22.96
   473 |            8.94 |           28.37 |             5.16 | 21.45
   474 |           11.58 |           25.59 |             5.82 | 20.82
   475 |           10.92 |           24.07 |             3.11 | 24.28
   476 |            9.97 |           27.88 |             4.55 | 20.82
   477 |            8.17 |           27.64 |             3.83 | 22.91
   478 |            7.07 |           25.01 |             7.54 | 23.00
   479 |            9.80 |           25.24 |             4.08 | 23.10
   480 |           11.91 |           26.60 |             4.73 | 20.82
   481 |            9.23 |           25.43 |             4.03 | 23.43
   482 |            7.79 |           26.84 |             5.82 | 22.29
   483 |            8.07 |           25.40 |             5.49 | 23.01
   484 |           11.63 |           25.78 |             3.11 | 22.31
   485 |            7.31 |           25.78 |             3.11 | 24.83
   486 |            6.83 |           22.56 |             3.19 | 27.20
   487 |            6.33 |           22.86 |             3.56 | 27.51
   488 |            4.60 |           24.29 |             7.43 | 24.72
